username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,language
cooksonwma,"b""you've done zero research on this front and you are misleading audience. moderna does not sell any other products. zero. products in r&amp;d mode mean nothing. pfizer loses money without covid. this is why no one reads your publication. lazy doesn't sell.\nhttps://t.co/rl2exwlwjg""",JordanSchachtel,[],2021-12-01 08:59:10+00:00,1925,5002,en
HelenCo81968926,b'@joshfrydenberg no matter how u say it you wasted 38 billion and didn\xe2\x80\x99t order vaccines to prevent lockdowns. the cost is way higher than your penny pinching with pfizer last year.  time to join hunt and porter.',no retweet username,[],2021-12-01 08:58:59+00:00,134,343,en
simonkensington,"b'british society 2023: government dictates fifth jab to be replaced by mandatory pfizer intravenous drips to protect against new #omicron covid variant. scientists name it the \xe2\x80\x98gullible\xe2\x80\x99 strain. \n60% of public comply saying \xe2\x80\x98well, it\xe2\x80\x99s the law ain\xe2\x80\x99t it\xe2\x80\x99 https://t.co/jdzblivqju'",russellquirk,[],2021-12-01 08:58:57+00:00,2223,1972,en
quackijae,"b""im alive, i survived pfizer y'all""",no retweet username,[],2021-12-01 08:58:56+00:00,866,853,en
quequeerr,"b'this is my aunt, she had both of her pfizer vaccines. this is her now!  https://t.co/mk7erll4cs'",alexandermaIIoy,[],2021-12-01 08:58:55+00:00,168,427,en
AMAinsight,"b'omicron covid variant is unlikely to cause severe illness in people who have received the pfizer vaccine, biontech chief says\xc2\xa0\nvia https://t.co/vsul7qly5e https://t.co/m8qmbukdlk'",no retweet username,[],2021-12-01 08:58:52+00:00,609,1568,en
MartineSaunde20,"b'important video from dr vernon coleman, detailing a pfizer report for the fda up to 28 feb 2021 on the safety of their v*****e. even by that point there were:\n\n42,086 adverse reaction case reports\n1,223 deaths\n\nso they knew. but they carried on regardless\n\nhttps://t.co/w67iyftj3j'",theblogmire,[],2021-12-01 08:58:50+00:00,631,653,en
Canyons_Addict,b'@barristershorse testing has shown that mrna boosters offer the best immune response so either pfizer or moderna.',no retweet username,[],2021-12-01 08:58:46+00:00,9,47,en
omnes_lucrantur,b'breaking: \n\nleaked documents have cast fresh doubts over the integrity of data arising from #pfizer\xe2\x80\x99s pivotal covid-19 vaccine trial &amp; suggest problems at ventavia are ongoing. \nwhistle-blower brook jackson speaks out.  \nhttps://t.co/ztzjqlomyx\n#pfizergate @iambrookjackson https://t.co/wgsoxcr9bc',MaryanneDemasi,"[{'text': 'Pfizer', 'indices': [112, 119]}]",2021-12-01 08:58:45+00:00,210,38,en
lyndsay_hopkins,b'@karenh777 it does. it makes it even worse. i\xe2\x80\x99m confused though because didn\xe2\x80\x99t china develop their own vaccine? if they are linked to pfizer why did they do this?',no retweet username,[],2021-12-01 08:58:43+00:00,4152,2950,en
smeemartin,b'get yours now! #pfizer https://t.co/sxp9ikmck7',QueenNat_35,"[{'text': 'pfizer', 'indices': [32, 39]}]",2021-12-01 08:58:43+00:00,2225,4773,en
BMac76722584,b'for anyone wondering if it is real...\nsept. 28th. i got my first shot (pfizer) and it weakened my immune system. nov. 4th i got a viral infection that hospitalized me with myocarditis. i now have heart damage for rest of my life. doctors have exempted me from further shots. https://t.co/4x4ht3xxsq',justrobshadows,[],2021-12-01 08:58:41+00:00,37,136,en
NewNormality20,"b'19-year-old sunshine coast man suffers excruciating heart pain post-pfizer vaccine, rushed to hospital twice, but told by doctors he has \xe2\x80\x9canxiety\xe2\x80\x9d. standard line now. \nthese gaslighting doctors are outrageously complicit &amp; culpable in denying obvious vaccine injuries. https://t.co/ltngty3coa'",Virg21Nicholls,[],2021-12-01 08:58:40+00:00,106,315,en
AnimationPoser,"b""@borisjohnson so your going to push for a #booster it better be #astrazeneca don't you think #nhs #tcells will win the day not #pfizer its a #democracy not some #fascist #state @awmurrison https://t.co/mmj3karkqo""",no retweet username,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01 08:58:37+00:00,118,465,en
Jazz_Flute_,b'@reutersfacts @pfizer says not to worry about @pfizer. seems legit.',no retweet username,[],2021-12-01 08:58:33+00:00,19,233,en
annejonesmn,"b""q: will monoclonal antibodies work against omicron?\na: probably not\n\nq: will antiviral drugs like merck's molnupiravir &amp; pfizer's paxlovid work versus omicron? \na: probably yes https://t.co/d6lwsywmbl""",celinegounder,[],2021-12-01 08:58:32+00:00,4036,5001,en
bugbugbugbug11,b'pfizer blocked marjorie taylor greene on twitter.\n\ngeorgia will block her from congress in 2022.',JDCocchiarella,[],2021-12-01 08:58:25+00:00,7,145,en
Air2Aliah,b'@kingguyo @daniiiiv just know the vaccines are still in trial (pfizer trial ends in jan 2023)',no retweet username,[],2021-12-01 08:58:25+00:00,3,36,en
RealBlackIrish,"b'a 25-year-old sydney man suffered a brain haemorrhage 30 mins after his 2nd pfizer jab &amp; can now no longer speak, eat or breathe on his own. tube fed, brain shunts &amp; tracheotomy. unrelated to the vaccine, of course. https://t.co/nyprfasxjy'",Virg21Nicholls,[],2021-12-01 08:58:22+00:00,5644,987,en
username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,language
CatD87222956,b'this was a response yesterday to the puke journalist who died of #covid19.  on a #whangarei #fb group.\n\nso many believe in the #misinformation and it really scares me.  a lot of people in #northland are going to get sick.\n\n#nzcovid19 #pfizervaccine  #covidiot #nz #tinfoilhats https://t.co/9uzv3e8kcq',no retweet username,"[{'text': 'covid19', 'indices': [65, 73]}, {'text': 'Whangarei', 'indices': [81, 91]}, {'text': 'FB', 'indices': [92, 95]}]",2021-12-01 08:41:00+00:00,4,52,en
EATegrity_Sonia,b'historically whistleblowers are abused because power loves the dark ~ #brookjackson was fired on the day she exposed the problems with #pfizervaccine trial #pfizerleaks ~ https://t.co/fs2ndl9zjo',no retweet username,"[{'text': 'BrookJackson', 'indices': [70, 83]}]",2021-12-01 08:33:21+00:00,3471,4766,en
notleanna_,b'finally got my 1st dose of vaccine \xf0\x9f\x92\x89\n#pfizervaccine https://t.co/gqconnkkja',no retweet username,"[{'text': 'Pfizervaccine', 'indices': [37, 51]}]",2021-12-01 07:02:53+00:00,265,473,en
freethinker_tx,b'this is a must watch. supporting data found at\nhttps://t.co/an4m2fhmml\n\nthe mrna v ax is a  #bioweapon \nthe exclusion of 100 kids included in #pfizervaccine between ages 12 to 15 test are being removed from the testing population.\n#crimesagainsthumanity https://t.co/tsjeylmife',freethinker_tx,"[{'text': 'BioWeapon', 'indices': [112, 122]}]",2021-12-01 05:50:51+00:00,542,832,en
freethinker_tx,b'this is a must watch. supporting data found at\nhttps://t.co/an4m2fhmml\n\nthe mrna v ax is a  #bioweapon \nthe exclusion of 100 kids included in #pfizervaccine between ages 12 to 15 test are being removed from the testing population.\n#crimesagainsthumanity https://t.co/tsjeylmife',no retweet username,"[{'text': 'BioWeapon', 'indices': [92, 102]}]",2021-12-01 05:45:24+00:00,542,832,en
CuerdoCarl,b'1st dose done\xe2\x99\xa5\xef\xb8\x8f\n#pfizervaccine https://t.co/yz3shuabxu',no retweet username,"[{'text': 'Pfizervaccine', 'indices': [16, 30]}]",2021-12-01 05:36:33+00:00,17,39,en
annejuan_87,b'before &amp; after hahahah\n#pfizervaccine https://t.co/bkna7ezcp1',no retweet username,"[{'text': 'Pfizervaccine', 'indices': [27, 41]}]",2021-12-01 05:15:17+00:00,78,206,en
ForGlobalGoals,"b""#covidvariant \n\n#omicronvariant : #biontech boss says 'don't freak out' about #omicron as #pfizervaccine likely to protect against severe disease from variant  \n#pakustv #nyc #globalhealth #b11259 #variantofconcern #ugursahin #globalgoals #covid19 \nhttps://t.co/sp3htgcupa""",saada186,"[{'text': 'covidvariant', 'indices': [14, 27]}, {'text': 'OmicronVariant', 'indices': [30, 45]}, {'text': 'BioNTech', 'indices': [48, 57]}, {'text': 'Omicron', 'indices': [92, 100]}, {'text': 'Pfizervaccine', 'indices': [104, 118]}]",2021-12-01 05:10:45+00:00,4940,3,en
saada186,"b""#covidvariant \n\n#omicronvariant : #biontech boss says 'don't freak out' about #omicron as #pfizervaccine likely to protect against severe disease from variant  \n#pakustv #nyc #globalhealth #b11259 #variantofconcern #ugursahin #globalgoals #covid19 \nhttps://t.co/sp3htgcupa""",no retweet username,"[{'text': 'covidvariant', 'indices': [0, 13]}, {'text': 'OmicronVariant', 'indices': [16, 31]}, {'text': 'BioNTech', 'indices': [34, 43]}, {'text': 'Omicron', 'indices': [78, 86]}, {'text': 'Pfizervaccine', 'indices': [90, 104]}]",2021-12-01 04:57:15+00:00,697,2381,en
TheHoff305,b'@surgeon_general fyi doc!!!\n\n#pfizervaccine fails risk-benefit analysis in children 5 to 11\n\nhttps://t.co/bqlmzbzqnt',no retweet username,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-12-01 04:47:51+00:00,713,3010,en
celimarrivera,"b""for 170+ years, @pfizer has been on the leading edge of biopharmaceuticals. come join our team! we're on the lookout for future scientists, doctors, data analysts, &amp; program managers who are ready to make a difference. #pfizerproud #pfecolleague https://t.co/rs75um2evg""",no retweet username,[],2021-12-01 04:02:01+00:00,18,94,en
celimarrivera,"b""for 170+ years, @pfizer has been on the leading edge of biopharmaceuticals. come join our team! we're on the lookout for future scientists, doctors, data analysts, &amp; program managers who are ready to make a difference. #pfizerproud #pfecolleague https://t.co/hvjkia1clf""",no retweet username,[],2021-12-01 04:00:40+00:00,18,94,en
MollyMaka,"b""the boy got his second shot today! he took it like a champ. two weeks till he's considered fully vaccinated. \n\nas for me, i'm scheduled for my booster on friday and for someone who's needle phobic, i'm excited!\n #covid19vaccine #doingourpart #theboytm #pfizervaccine https://t.co/urgamsag9z""",no retweet username,[],2021-12-01 03:21:34+00:00,856,712,en
annleelyn1,b'@cdcgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:48:12+00:00,500,4091,en
annleelyn1,b'@cdcgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:46:26+00:00,500,4091,en
annleelyn1,b'@nycmayorsoffice @nycschools @nycmayor @nychealthcommr a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:32:10+00:00,500,4091,en
annleelyn1,b'@nychealthcommr @nycschools a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:31:51+00:00,500,4091,en
annleelyn1,b'@nycmayor a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:26:34+00:00,500,4091,en
annleelyn1,b'@nysdec @govkathyhochul a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:25:34+00:00,500,4091,en
annleelyn1,b'@ap a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:25:06+00:00,500,4091,en
annleelyn1,b'@govkathyhochul a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:24:53+00:00,500,4091,en
annleelyn1,b'@potus a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:22:50+00:00,500,4091,en
annleelyn1,b'@nycgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 23:22:25+00:00,500,4091,en
TCBFHQ,"b'my 5 year old wynn did her part today and received her covid 19 vaccination.  if she can do her part, so can you. #saskhealthauthority #pfizervaccine #getvaccinated https://t.co/o4myaf0sou'",CherishFrancis,[],2021-11-30 23:20:26+00:00,4441,4435,en
ShmonyVet,b'@cdcgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',annleelyn1,[],2021-11-30 20:44:45+00:00,34,157,en
68john,"b""for 170+ years, @pfizer has been on the leading edge of biopharmaceuticals. come join our team! we're on the lookout for future scientists, doctors, data analysts, &amp; program managers who are ready to make a difference. #pfizerproud #pfecolleague https://t.co/ua0mzhpzaa""",no retweet username,[],2021-11-30 20:25:16+00:00,5,70,en
annleelyn1,b'@nih_nhlbi @nih @nyulangone a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:43:51+00:00,500,4091,en
annleelyn1,b'@samanthakings14 @whitehouse a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:43:33+00:00,500,4091,en
annleelyn1,b'@whitehouse @nih a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:42:29+00:00,500,4091,en
annleelyn1,b'@cdcgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:41:46+00:00,500,4091,en
annleelyn1,b'@cdcgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:41:32+00:00,500,4091,en
annleelyn1,b'@whcovidresponse @secbecerra @cdcdirector a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:41:21+00:00,500,4091,en
annleelyn1,b'@usambun a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:40:52+00:00,500,4091,en
annleelyn1,b'@potus a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:40:33+00:00,500,4091,en
annleelyn1,b'@cnnbrk a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:40:19+00:00,500,4091,en
annleelyn1,b'@nycyouth a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:39:56+00:00,500,4091,en
annleelyn1,b'@nychealthy @nycyouth a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:39:49+00:00,500,4091,en
annleelyn1,b'@nycgov a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:39:35+00:00,500,4091,en
annleelyn1,b'@nychealthcommr a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:39:24+00:00,500,4091,en
annleelyn1,b'@nycmayor @nycschools @nychealthcommr a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:39:06+00:00,500,4091,en
annleelyn1,b'@nycmayorsoffice @nycschools a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:38:50+00:00,500,4091,en
annleelyn1,b'@nycschools @nychealthy @nychealthsystem @nychealthcommr @nycgov @nycmayorsoffice a 14-year-old girl in has died 1 month after receiving her second pfizervaccine. majda el azrak got her second shot on august 17th and suffered a severe headache the next day. she was hospitalized on august 19th where she slipped into a coma died on 09/13 there is investigation',no retweet username,[],2021-11-30 19:38:34+00:00,500,4091,en
dellyranksindia,b'covid: biontech ceo says current vaccine likely to protect against omicron #biontech #biontechvaccine #omicron #omicronvariant #pfizervaccine #ugursahin https://t.co/kidj5ejmhv\nhttps://t.co/kidj5ejmhv',no retweet username,"[{'text': 'bioNtech', 'indices': [75, 84]}, {'text': 'BioNTechvaccine', 'indices': [85, 101]}, {'text': 'Omicron', 'indices': [102, 110]}]",2021-11-30 16:58:06+00:00,10,0,en
CherishFrancis,"b'my 5 year old wynn did her part today and received her covid 19 vaccination.  if she can do her part, so can you. #saskhealthauthority #pfizervaccine #getvaccinated https://t.co/o4myaf0sou'",no retweet username,[],2021-11-30 16:48:14+00:00,27,84,en
PrincipalNick43,b'attention #farrock community! vaccinations today from 7:30am-4:30pm ages 5-11!\n#pfizer\n#vaccine\n#pfizervaccine\n#vaccination\n#farrockaway  \n@district27nyc \n@jenncarry_on \n@qsnycdoe \n@qnsbprichards \n@jsandersnyc \n@khaleelanderson \n@powers4queens \n@stacey23ad \n@gregmeeksnyc https://t.co/jnnexlsv7y',no retweet username,"[{'text': 'FarRock', 'indices': [10, 18]}, {'text': 'Pfizer', 'indices': [79, 86]}, {'text': 'Vaccine', 'indices': [87, 95]}, {'text': 'PfizerVaccine', 'indices': [96, 110]}]",2021-11-30 14:28:11+00:00,803,1263,en
Jn59570828,"b'omicron #globaltravels \n-#japan\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 and #israel\xf0\x9f\x87\xae\xf0\x9f\x87\xb1 banned all foreign visitors.\n-#morocco\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6 closed flights and sea travels for 2 weeks min. \n\nas israel has the best #pfizervaccine_data #bnt in the world, does closing of its borders tell about the severity. https://t.co/gzljgb4an4'",riikka_kevo,"[{'text': 'GlobalTravels', 'indices': [25, 39]}, {'text': 'Japan', 'indices': [42, 48]}, {'text': 'Israel', 'indices': [55, 62]}, {'text': 'Morocco', 'indices': [95, 103]}]",2021-11-30 06:49:06+00:00,140,704,en
riikka_kevo,"b'omicron #globaltravels \n-#japan\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 and #israel\xf0\x9f\x87\xae\xf0\x9f\x87\xb1 banned all foreign visitors.\n-#morocco\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6 closed flights and sea travels for 2 weeks min. \n\nas israel has the best #pfizervaccine_data #bnt in the world, does closing of its borders tell about the severity. https://t.co/gzljgb4an4'",no retweet username,"[{'text': 'GlobalTravels', 'indices': [8, 22]}, {'text': 'Japan', 'indices': [25, 31]}, {'text': 'Israel', 'indices': [38, 45]}, {'text': 'Morocco', 'indices': [78, 86]}]",2021-11-30 06:38:41+00:00,1489,3110,en
shinaytay,b'please #vaccinate your kids against #covid19 \n\n#omicron #omicronvariant #delta #covid #vaccination #vaccinated #pfizervaccine #modernavaccine #booster #pfizer #moderna #science #believescience #health #maskup #vax #provax #socialdistancing #staysafe \n\nhttps://t.co/fs9tbftzyh',no retweet username,"[{'text': 'vaccinate', 'indices': [7, 17]}, {'text': 'covid19', 'indices': [36, 44]}, {'text': 'omicron', 'indices': [47, 55]}, {'text': 'OmicronVariant', 'indices': [56, 71]}, {'text': 'delta', 'indices': [72, 78]}, {'text': 'covid', 'indices': [79, 85]}, {'text': 'vaccination', 'indices': [86, 98]}, {'text': 'vaccinated', 'indices': [99, 110]}]",2021-11-30 06:14:52+00:00,49,26,en
Switzercomau,"b""read 'no entry! the pm still bars overseas students and workers. blame omicron' https://t.co/cjyieuznhl\n\n#wealth #finance #omicron #covid #covid19 #vaccine #covid #pfizer #pfizervaccine #astrazeneca #astrazenecavaccine #moderna #modernavaccine #vaccinate #vaccinationrate https://t.co/e2zko4dzlu""",no retweet username,"[{'text': 'wealth', 'indices': [105, 112]}]",2021-11-30 00:22:16+00:00,4910,842,en
68john,"b""for 170+ years, @pfizer has been on the leading edge of biopharmaceuticals. come join our team! we're on the lookout for future scientists, doctors, data analysts, &amp; program managers who are ready to make a difference. #pfizerproud #pfecolleague https://t.co/rpqcqlzqzj""",no retweet username,[],2021-11-30 00:10:37+00:00,5,70,en
Sixtysecondsof,b'patient zero (n=1) was infact double  jabbed. #omicronvariant. which\nsuggesting that the #pfizervaccine mutation is ongoing https://t.co/cxn3jxkiow',no retweet username,"[{'text': 'OmicronVariant', 'indices': [46, 61]}, {'text': 'PfizerVaccine', 'indices': [89, 103]}]",2021-11-29 20:05:23+00:00,271,363,en
squid_9x,b'basty\xe2\x80\x99s second dose   #pfizervaccine https://t.co/us1tc5lini',no retweet username,"[{'text': 'PfizerVaccine', 'indices': [22, 36]}]",2021-11-29 19:57:26+00:00,41,376,en
goofyfuckinfuck,b'covid vaccine boosters for all over 18s now three months after second dose??? fuck yes time for third dose of pfizer in january god i fucking love pfizer so much fuck it just get that vaccine in me already #pfizer #vaccine #boostershot #pfizervaccine',no retweet username,[],2021-11-29 16:24:37+00:00,20,135,en
tarundsnaol,"b""today, i received my first dose of #pfizervaccine @pfizer for #covid19 in the united states of america! i'm feeling so grateful. \n\xf0\x9f\x92\x89\xf0\x9f\xa6\xa0\n\n#pfizer #vaccination #coronavirus https://t.co/zjmlkuurzm""",MalvikaIyer,"[{'text': 'PfizerVaccine', 'indices': [52, 66]}, {'text': 'COVID19', 'indices': [79, 87]}]",2021-11-29 09:42:31+00:00,608,5002,en
tmmk2020,b'(part 3)  for an 80 yo with dementia. i wasn\xe2\x80\x99t anti vax or pro vax. i fell for the propaganda by bigpharma. i just want to make others aware. there are others out there like me. found a group on fb. one who has spoke with congress #pfizervaccine',Julia720900,[],2021-11-29 08:28:44+00:00,1764,474,en
Switzercomau,"b""read 'full impact of omicron pending at this stage' at the link in our bio.https://t.co/8krkshn9aj\n\n#omicron #covid #covid19 #vaccine #covid #pfizer #pfizervaccine #astrazeneca #astrazenecavaccine #moderna #modernavaccine #vaccinate #vaccinationrate #mutation #coronavirusoutbreak https://t.co/dx4kn2d7zj""",no retweet username,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29 07:30:01+00:00,4910,842,en
deffyahoo,b'(part 3)  for an 80 yo with dementia. i wasn\xe2\x80\x99t anti vax or pro vax. i fell for the propaganda by bigpharma. i just want to make others aware. there are others out there like me. found a group on fb. one who has spoke with congress #pfizervaccine',Julia720900,[],2021-11-29 06:01:16+00:00,55,82,en
