,username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,language,Polarity,Polarity_distribution,len_tweet,word_count_tweet
74,jn59570828, omicron globaltravels japan israel banned foreign visitors morocco closed flights sea travels weeks min israel best pfizervaccine data bnt world closing borders tell severity,riikka_kevo,"[{'text': 'GlobalTravels', 'indices': [25, 39]}, {'text': 'Japan', 'indices': [42, 48]}, {'text': 'Israel', 'indices': [55, 62]}, {'text': 'Morocco', 'indices': [95, 103]}]",2021-11-30,140,704,en,0.25833333333333336,Negative,175,25
75,riikka_kevo, omicron globaltravels japan israel banned foreign visitors morocco closed flights sea travels weeks min israel best pfizervaccine data bnt world closing borders tell severity,riikka_kevo,"[{'text': 'GlobalTravels', 'indices': [8, 22]}, {'text': 'Japan', 'indices': [25, 31]}, {'text': 'Israel', 'indices': [38, 45]}, {'text': 'Morocco', 'indices': [78, 86]}]",2021-11-30,1489,3110,en,0.25833333333333336,Negative,175,25
76,shinaytay, please vaccinate kids omicron omicronvariant delta covid vaccination vaccinated pfizervaccine modernavaccine booster pfizer moderna science believescience health maskup vax provax socialdistancing staysafe,riikka_kevo,"[{'text': 'vaccinate', 'indices': [7, 17]}, {'text': 'covid19', 'indices': [36, 44]}, {'text': 'omicron', 'indices': [47, 55]}, {'text': 'OmicronVariant', 'indices': [56, 71]}, {'text': 'delta', 'indices': [72, 78]}, {'text': 'covid', 'indices': [79, 85]}, {'text': 'vaccination', 'indices': [86, 98]}, {'text': 'vaccinated', 'indices': [99, 110]}]",2021-11-30,49,26,en,0.0,Neutral,206,23
77,switzercomau, read entry pm still bars overseas students workers blame omicron finance omicron covid vaccine covid pfizer pfizervaccine astrazeneca astrazenecavaccine moderna modernavaccine vaccinate vaccinationrate,riikka_kevo,"[{'text': 'wealth', 'indices': [105, 112]}]",2021-11-30,4910,842,en,0.0,Neutral,202,24
78,68john, years leading edge biopharmaceuticals come join team lookout future scientists doctors data analysts amp program managers ready make difference pfizerproud pfecolleague,riikka_kevo,"[{'text': 'wealth', 'indices': [105, 112]}]",2021-11-30,5,70,en,0.1,Negative,169,22
79,sixtysecondsof, patient zero n infact double jabbed omicronvariant whichsuggesting pfizervaccine mutation ongoing,riikka_kevo,"[{'text': 'OmicronVariant', 'indices': [46, 61]}, {'text': 'PfizerVaccine', 'indices': [89, 103]}]",2021-11-29,271,363,en,0.0,Neutral,98,12
80,squid_9x, basty second dose pfizervaccine,riikka_kevo,"[{'text': 'PfizerVaccine', 'indices': [22, 36]}]",2021-11-29,41,376,en,0.0,Neutral,32,5
81,goofyfuckinfuck, covid vaccine boosters three months second dose fuck yes time third dose pfizer january god fucking love pfizer much fuck get vaccine already pfizer vaccine boostershot pfizervaccine,riikka_kevo,"[{'text': 'PfizerVaccine', 'indices': [22, 36]}]",2021-11-29,20,135,en,-0.06000000000000001,Positive,183,28
82,tarundsnaol, today received first dose pfizervaccine united states america feeling grateful pfizer vaccination coronavirus,malvikaiyer,"[{'text': 'PfizerVaccine', 'indices': [52, 66]}, {'text': 'COVID19', 'indices': [79, 87]}]",2021-11-29,608,5002,en,0.25,Negative,110,14
83,tmmk2020, part yo dementia anti vax pro vax fell propaganda bigpharma want make others aware others like found group fb one spoke congress pfizervaccine,julia720900,"[{'text': 'PfizerVaccine', 'indices': [52, 66]}, {'text': 'COVID19', 'indices': [79, 87]}]",2021-11-29,1764,474,en,0.075,Negative,143,24
84,switzercomau, read full impact omicron pending stage link bio covid vaccine covid pfizer pfizervaccine astrazeneca astrazenecavaccine moderna modernavaccine vaccinate vaccinationrate mutation coronavirusoutbreak,julia720900,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,4910,842,en,0.35,Negative,198,22
85,deffyahoo, part yo dementia anti vax pro vax fell propaganda bigpharma want make others aware others like found group fb one spoke congress pfizervaccine,julia720900,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,55,82,en,0.075,Negative,143,24
86,david22074732, part yo dementia anti vax pro vax fell propaganda bigpharma want make others aware others like found group fb one spoke congress pfizervaccine,julia720900,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,86,128,en,0.075,Negative,143,24
87,ming63791097, part yo dementia anti vax pro vax fell propaganda bigpharma want make others aware others like found group fb one spoke congress pfizervaccine,julia720900,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,10940,367,en,0.075,Negative,143,24
88,julia720900, part yo dementia anti vax pro vax fell propaganda bigpharma want make others aware others like found group fb one spoke congress pfizervaccine,julia720900,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,5642,1026,en,0.075,Negative,143,24
89,flinch04, covid researcher blows whistle data integrity issues pfizer vaccine trial bmj scares pfizervaccine,julia720900,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,53,212,en,0.0,Neutral,99,14
90,joyfultruth11, thanks everyone sent well wishes never e tweet blow intended scare either commented hair wearing cap admitted myocarditis pfizervaccine,jonahthaloner,"[{'text': 'omicron', 'indices': [100, 108]}, {'text': 'covid', 'indices': [109, 115]}]",2021-11-29,4,85,en,0.2,Negative,136,20
91,summerbreeze712, grapheneo pfizervaccine dr campra almeria paper english translation,realityresidue,"[{'text': 'GrapheneOxide', 'indices': [20, 34]}, {'text': 'PfizerVaccine', 'indices': [51, 65]}, {'text': 'Almeria', 'indices': [85, 93]}]",2021-11-28,3144,3422,en,0.0,Neutral,68,9
92,gkiran91, risk severe illness major covid variants including delta alpha beta gamma coronapandemic pfizervaccine covishield modernavaccine,dramehndiratta,"[{'text': 'Covid', 'indices': [67, 73]}, {'text': 'Delta', 'indices': [94, 100]}]",2021-11-28,1245,1797,en,0.0625,Negative,129,16
93,sandersseanergy, never happier feel sick pfizervaccine,maryltrump,"[{'text': 'Pfizervaccine', 'indices': [60, 74]}]",2021-11-28,456,4982,en,-0.7142857142857143,Positive,38,6
94,dramehndiratta, risk severe illness major covid variants including delta alpha beta gamma coronapandemic pfizervaccine covishield modernavaccine,maryltrump,"[{'text': 'Covid', 'indices': [47, 53]}, {'text': 'Delta', 'indices': [74, 80]}]",2021-11-28,522,131,en,0.0625,Negative,129,16
95,crazedupworld, stands reason public reports heartattack paramedics skip vaccine q jump straight pfizervaccine blowing whistle tho observations whistleblower,maryltrump,"[{'text': 'HeartAttack', 'indices': [51, 63]}, {'text': 'Paramedics', 'indices': [68, 79]}, {'text': 'Vaccine', 'indices': [94, 102]}]",2021-11-28,324,452,en,0.1,Negative,142,18
96,kaidenrouke, young die age year old daughter pfizervaccine ripping getting cells since january,maryltrump,"[{'text': 'Pfizervaccine', 'indices': [66, 80]}]",2021-11-28,309,1216,en,0.1,Negative,82,13
97,jkty, kc dose pfizer vaccine done yesterday congrats welcome fully vaccinated club pfizervaccine pfizer sm city san lazaro,maryltrump,"[{'text': 'manilacovid19', 'indices': [99, 113]}]",2021-11-28,148,112,en,0.8,Negative,117,18
98,leehernly, study pfizer vaccine effective vs covid doses pfizervaccine,maryltrump,"[{'text': 'COVID19', 'indices': [60, 68]}, {'text': 'PfizerVaccine', 'indices': [69, 83]}]",2021-11-28,979,1510,en,0.6,Negative,60,9
99,erin_r2345, feeling relieved vaccineswork pfizervaccine covidvaccinekids doyourpart,maryltrump,"[{'text': 'VaccinesWork', 'indices': [20, 33]}, {'text': 'Pfizervaccine', 'indices': [34, 48]}, {'text': 'COVIDVaccineKids', 'indices': [49, 66]}, {'text': 'doyourpart', 'indices': [67, 78]}]",2021-11-28,2,36,en,0.0,Neutral,72,7
100,katharineaugus2, answering questions covid vaccine kids help general pfizervaccine,realdoctormike,"[{'text': 'VaccinesWork', 'indices': [20, 33]}, {'text': 'Pfizervaccine', 'indices': [34, 48]}, {'text': 'COVIDVaccineKids', 'indices': [49, 66]}, {'text': 'doyourpart', 'indices': [67, 78]}]",2021-11-28,0,11,en,0.05000000000000002,Negative,66,9
101,talisman_1956, moronic many gullible fall coronavirusupdates covidvaccines pfizervaccine vaccineswork,realdoctormike,"[{'text': 'CoronaVaccination', 'indices': [86, 104]}]",2021-11-28,0,1,en,0.5,Negative,87,9
102,dodgerambl3r, testing incoming passengers increase cases blamed new omicron say moronic covid variant time implement plan b jab nearly date pfizervaccine see,ceelzm,"[{'text': 'CoronaVaccination', 'indices': [86, 104]}]",2021-11-27,1060,1460,en,0.11818181818181818,Negative,144,22
